timestamp,apihumidity,apitemperature,gsr,no2,pm10,pm25,shumidity,so2,stemp
2023-11-27_09-33-19,92,9.03,552,17.65,1.41,1.16,40.75,5.54,23.28
2023-11-27_09-37-19,92,9.03,541,17.65,1.41,1.16,43.15,5.54,22.81
2023-11-27_09-41-20,92,9.25,553,17.65,1.41,1.16,44.06,5.54,22.05
2023-11-27_09-45-21,92,9.25,545,17.65,1.41,1.16,45.61,5.54,21.81
2023-11-27_09-49-22,92,9.25,569,17.65,1.41,1.16,45.07,5.54,21.85
2023-11-27_09-53-23,92,9.33,589,17.65,1.41,1.16,44.55,5.54,22.13
2023-11-27_09-57-23,92,9.33,596,17.65,1.41,1.16,44.24,5.54,22.36
2023-11-27_10-01-24,92,9.33,586,17.65,1.41,1.16,43.56,5.54,22.56
2023-11-27_10-05-25,92,9.21,583,17.65,1.41,1.16,44.73,5.54,22.06
2023-11-27_10-09-26,92,9.21,591,17.65,1.41,1.16,45.94,5.54,22.37
2023-11-27_10-13-28,92,9.42,586,17.65,1.41,1.16,42.85,5.54,23.27
2023-11-27_10-17-28,92,9.42,589,17.65,1.41,1.16,42.27,5.54,23.29
2023-11-27_10-21-29,92,9.42,596,17.65,1.41,1.16,43.67,5.54,22.53
2023-11-27_10-25-30,92,9.41,603,17.65,1.41,1.16,45.80,5.54,21.99
2023-11-27_10-29-31,92,9.41,585,17.65,1.41,1.16,43.56,5.54,22.71
2023-11-27_10-33-32,92,9.41,586,17.65,1.41,1.16,39.01,5.54,22.17
2023-11-27_10-37-33,92,9.41,616,16.97,1.42,1.14,41.38,5.78,21.53
2023-11-27_10-41-34,92,9.47,610,16.97,1.42,1.14,42.85,5.78,22.17
2023-11-27_10-45-35,92,9.47,585,16.97,1.42,1.14,39.76,5.78,21.89
2023-11-27_10-49-35,92,9.47,592,16.97,1.42,1.14,39.96,5.78,21.75
2023-11-27_10-53-36,92,9.47,595,16.97,1.42,1.14,40.08,5.78,21.89
2023-11-27_10-57-36,92,9.47,581,16.97,1.42,1.14,41.09,5.78,21.77
2023-11-27_11-01-37,92,9.47,585,16.97,1.42,1.14,41.60,5.78,21.63
2023-11-27_11-05-38,92,9.59,597,16.97,1.42,1.14,45.86,5.78,19.65
2023-11-27_11-09-39,92,9.59,590,16.97,1.42,1.14,43.60,5.78,20.11
2023-11-27_11-13-40,92,9.59,560,16.97,1.42,1.14,44.14,5.78,19.79
2023-11-27_11-17-41,92,9.63,553,16.97,1.42,1.14,43.56,5.78,20.03
2023-11-27_11-21-42,92,9.63,572,16.97,1.42,1.14,44.62,5.78,19.79
2023-11-27_11-25-43,92,9.63,560,16.97,1.42,1.14,43.96,5.78,19.98
2023-11-27_11-29-44,92,9.64,463,16.97,1.42,1.14,44.77,5.78,19.88
2023-11-27_11-33-45,92,9.64,472,16.97,1.42,1.14,46.70,5.78,19.80
2023-11-27_11-37-46,92,9.64,447,16.97,1.42,1.14,43.54,5.78,20.39
2023-11-27_11-41-47,92,9.74,355,22.96,2.66,2.33,45.20,5.96,19.72
2023-11-27_11-45-48,92,9.74,535,22.96,2.66,2.33,43.34,5.96,20.60
2023-11-27_11-49-49,92,9.74,554,22.96,2.66,2.33,41.05,5.96,25.84
2023-11-27_11-53-49,91,9.74,528,22.96,2.66,2.33,40.32,5.96,21.97
2023-11-27_11-57-50,91,9.74,533,22.96,2.66,2.33,41.08,5.96,21.30
2023-11-27_12-01-51,91,9.74,516,22.96,2.66,2.33,43.34,5.96,20.78
2023-11-27_12-05-52,91,9.74,540,22.96,2.66,2.33,43.13,5.96,21.27
2023-11-27_12-09-53,91,9.55,514,22.96,2.66,2.33,40.87,5.96,21.23
2023-11-27_12-13-54,91,9.55,404,22.96,2.66,2.33,43.02,5.96,20.80
2023-11-27_12-18-14,91,9.55,460,22.96,2.66,2.33,43.02,5.96,20.93
2023-11-27_12-22-14,91,9.43,518,25.71,4.29,3.96,44.22,4.83,19.52
2023-11-27_12-26-14,91,9.43,569,25.71,4.29,3.96,49.26,4.83,19.59
2023-11-27_12-30-14,91,9.43,634,25.71,4.29,3.96,44.54,4.83,21.29
2023-11-27_12-34-15,91,9.43,595,25.71,4.29,3.96,47.59,4.83,21.35
2023-11-27_12-38-15,91,9.12,573,25.71,4.29,3.96,42.81,4.83,22.02
2023-11-27_12-42-16,91,9.12,584,25.71,4.29,3.96,42.24,4.83,22.02
2023-11-27_12-46-17,91,9.12,547,25.71,4.29,3.96,40.83,4.83,22.46
2023-11-27_12-50-18,91,8.68,524,25.71,4.29,3.96,42.40,4.83,22.09
2023-11-27_12-54-18,91,8.68,542,25.71,4.29,3.96,42.96,4.83,22.70
2023-11-27_12-58-19,90,8.65,537,25.71,4.29,3.96,41.70,4.83,22.80
2023-11-27_13-02-20,90,8.65,548,25.71,4.29,3.96,41.40,4.83,22.77
2023-11-27_13-06-21,90,8.65,500,25.71,4.29,3.96,41.24,4.83,22.40
2023-11-27_13-10-22,90,8.11,571,25.71,4.29,3.96,41.18,4.83,22.50
2023-11-27_13-14-23,90,8.11,582,25.71,4.29,3.96,42.19,4.83,22.17
2023-11-27_13-18-24,90,8.11,586,25.71,4.29,3.96,42.11,4.83,21.88
2023-11-27_13-22-25,90,7.65,628,25.71,4.29,3.96,38.36,4.83,23.18
2023-11-27_13-26-37,90,7.65,623,25.71,4.29,3.96,40.50,4.83,22.56
2023-11-27_13-30-37,90,7.65,631,25.71,4.29,3.96,41.86,4.83,22.21
2023-11-27_13-34-43,90,7.11,622,18.51,2.84,2.57,41.68,3.93,22.09
2023-11-27_13-38-44,90,7.11,611,18.51,2.84,2.57,41.17,3.93,22.21
2023-11-27_13-42-45,90,7.11,602,18.51,2.84,2.57,41.04,3.93,22.37
2023-11-27_13-46-45,90,7.01,587,18.51,2.84,2.57,46.84,3.93,23.52
2023-11-27_13-50-46,90,7.01,586,18.51,2.84,2.57,42.82,3.93,23.55
2023-11-27_13-54-47,90,6.94,600,18.51,2.84,2.57,48.36,3.93,14.05
2023-11-27_13-58-47,90,6.94,605,18.51,2.84,2.57,68.27,3.93,8.78
2023-11-27_14-02-48,90,6.94,606,18.51,2.84,2.57,63.47,3.93,11.22
2023-11-27_14-06-50,90,6.66,609,18.51,2.84,2.57,57.29,3.93,17.58
2023-11-27_14-10-50,90,6.83,637,18.51,2.84,2.57,58.69,3.93,11.84
2023-11-27_14-14-51,90,6.83,634,18.51,2.84,2.57,64.77,3.93,9.25
2023-11-27_14-18-51,90,6.74,634,18.51,2.84,2.57,59.74,3.93,15.19
2023-11-27_14-22-52,90,6.74,636,18.51,2.84,2.57,50.57,3.93,18.12
2023-11-27_14-26-54,90,6.74,627,18.51,2.84,2.57,44.31,3.93,19.79
2023-11-27_14-30-54,90,6.74,623,18.51,2.84,2.57,39.73,3.93,20.31
2023-11-27_14-34-55,90,6.74,625,18.51,2.84,2.57,60.66,3.93,14.26
2023-11-27_14-38-55,90,6.74,625,14.22,1.89,1.65,52.73,3.34,13.40
2023-11-27_14-43-01,90,6.45,627,14.22,1.89,1.65,63.58,3.34,9.27
2023-11-27_14-47-02,90,6.45,631,14.22,1.89,1.65,68.98,3.34,8.37
2023-11-27_14-51-02,90,6.45,630,14.22,1.89,1.65,57.93,3.34,14.36
2023-11-27_14-55-03,91,6.21,627,14.22,1.89,1.65,42.32,3.34,17.02
2023-11-27_14-59-04,91,6.21,631,14.22,1.89,1.65,67.70,3.34,8.48
2023-11-27_15-03-05,91,6.21,638,14.22,1.89,1.65,69.60,3.34,8.02
2023-11-27_15-07-10,91,6.06,636,14.22,1.89,1.65,57.37,3.34,14.73
2023-11-27_15-11-11,91,6.06,627,14.22,1.89,1.65,48.18,3.34,19.18
2023-11-27_15-15-12,91,6.06,611,14.22,1.89,1.65,39.75,3.34,18.28
2023-11-27_15-19-12,91,5.98,616,14.22,1.89,1.65,56.34,3.34,15.42
2023-11-27_15-23-32,91,5.98,625,14.22,1.89,1.65,70.76,3.34,7.16
2023-11-27_15-27-33,91,5.98,621,14.22,1.89,1.65,58.21,3.34,15.97
2023-11-27_15-31-33,91,5.92,611,14.22,1.89,1.65,51.99,3.34,18.04
2023-11-28_11-16-23,87,5.98,425,23.65,4.36,2.55,47.71,9.3,17.13
2023-11-28_11-20-24,87,5.98,438,23.65,4.36,2.55,55.11,9.3,10.43
2023-11-28_11-24-26,88,6.08,343,23.65,4.36,2.55,73.23,9.3,16.47
2023-11-28_11-28-27,88,6.08,428,23.65,4.36,2.55,66.54,9.3,19.24
2023-11-28_11-32-27,88,6.08,458,23.65,4.36,2.55,45.33,9.3,23.51
2023-11-28_11-36-28,86,6.41,528,23.65,4.36,2.55,44.08,9.3,22.17
2023-11-28_11-40-29,86,6.41,542,20.39,4.02,2.21,33.55,9.3,21.03
2023-11-28_11-44-29,86,6.41,546,20.39,4.02,2.21,48.59,9.3,22.46
2023-11-28_11-48-30,84,6.75,476,20.39,4.02,2.21,34.87,9.3,22.88
2023-11-28_11-52-31,84,6.75,546,20.39,4.02,2.21,37.37,9.3,21.88
2023-11-28_11-56-31,84,6.75,538,20.39,4.02,2.21,40.12,9.3,23.25
2023-11-28_12-00-45,84,6.95,558,20.39,4.02,2.21,57.41,9.3,9.45
2023-11-28_12-04-45,84,6.95,566,20.39,4.02,2.21,51.30,9.3,17.28
2023-11-28_12-08-46,84,6.95,600,20.39,4.02,2.21,33.28,9.3,23.02
2023-11-28_12-12-47,82,6.71,603,20.39,4.02,2.21,32.75,9.3,22.51
2023-11-28_12-16-48,82,6.71,581,20.39,4.02,2.21,32.68,9.3,23.22
2023-11-28_12-20-49,82,6.71,563,20.39,4.02,2.21,32.02,9.3,23.54
2023-11-28_12-24-50,81,7.08,458,20.39,4.02,2.21,28.94,9.3,24.65
2023-11-28_12-28-51,81,7.08,491,20.39,4.02,2.21,34.40,9.3,24.57
2023-11-28_12-32-52,81,7.08,499,20.39,4.02,2.21,25.85,9.3,26.91
2023-11-28_12-36-53,81,6.99,569,20.39,4.02,2.21,28.85,9.3,27.21
2023-11-28_12-40-54,81,6.96,590,15.94,3.12,1.6,30.11,7.03,25.02
2023-11-28_12-44-55,81,6.96,537,15.94,3.12,1.6,28.94,7.03,24.63
2023-11-28_12-48-56,81,6.98,554,15.94,3.12,1.6,28.26,7.03,25.52
2023-11-28_12-52-56,81,6.98,615,15.94,3.12,1.6,27.88,7.03,25.59
2023-11-28_12-56-57,81,6.98,516,15.94,3.12,1.6,31.98,7.03,23.20
2023-11-28_13-00-58,81,6.99,542,15.94,3.12,1.6,56.45,7.03,8.74
2023-11-28_13-05-09,81,6.99,548,15.94,3.12,1.6,52.00,7.03,10.55
2023-11-28_13-09-09,81,6.99,545,15.94,3.12,1.6,45.25,7.03,16.17
2023-11-28_13-13-10,80,6.89,532,15.94,3.12,1.6,52.70,7.03,19.85
2023-11-28_13-17-11,80,6.89,534,15.94,3.12,1.6,47.85,7.03,17.30
2023-11-28_13-21-16,80,6.9,502,15.94,3.12,1.6,42.48,7.03,21.72
2023-11-28_13-25-17,80,6.9,592,15.94,3.12,1.6,27.80,7.03,23.37
2023-11-28_13-29-17,80,6.9,572,15.94,3.12,1.6,31.38,7.03,21.50
2023-11-28_13-33-18,80,6.91,561,15.94,3.12,1.6,34.59,7.03,21.04
2023-11-28_13-37-19,80,6.91,562,20.39,3.32,1.85,36.01,8.23,23.66
2023-11-28_13-41-20,80,6.82,575,20.39,3.32,1.85,57.01,8.23,8.82
2023-11-28_13-45-20,80,6.82,566,20.39,3.32,1.85,64.64,8.23,16.82
2023-11-28_13-49-21,79,6.84,554,20.39,3.32,1.85,53.67,8.23,19.81
2023-11-28_13-53-22,79,6.84,555,20.39,3.32,1.85,43.08,8.23,21.35
2023-11-28_13-57-33,79,6.84,520,20.39,3.32,1.85,43.14,8.23,21.66
2023-11-28_14-01-34,79,6.65,508,20.39,3.32,1.85,40.12,8.23,16.08
2023-11-28_14-05-35,79,6.65,541,20.39,3.32,1.85,47.52,8.23,11.93
2023-11-28_14-09-41,79,6.65,545,20.39,3.32,1.85,58.75,8.23,14.84
2023-11-28_14-13-53,78,6.65,543,20.39,3.32,1.85,41.47,8.23,15.52
2023-11-28_14-18-13,78,6.65,540,20.39,3.32,1.85,47.64,8.23,16.87
2023-11-28_14-22-24,78,6.65,548,20.39,3.32,1.85,38.67,8.23,16.29
2023-11-28_14-26-44,78,6.65,526,20.39,3.32,1.85,40.19,8.23,15.91
2023-11-28_14-30-55,79,6.52,576,27.08,3.67,2.23,40.12,9.54,16.06
2023-11-28_14-35-12,79,6.52,537,27.08,3.67,2.23,51.38,9.54,14.83
2023-11-28_14-39-33,79,6.52,549,27.08,3.67,2.23,41.95,9.54,14.32
2023-11-28_14-43-53,79,6.52,561,27.08,3.67,2.23,52.57,9.54,15.17
2023-11-28_14-48-13,79,6.52,569,27.08,3.67,2.23,42.67,9.54,15.86
2023-11-28_14-52-20,79,6.3,575,27.08,3.67,2.23,35.33,9.54,16.25
2023-11-28_14-56-28,79,6.3,544,27.08,3.67,2.23,35.10,9.54,19.96
2023-11-28_15-00-48,79,6.42,505,27.08,3.67,2.23,46.75,9.54,20.54
2023-11-28_15-04-49,79,6.42,589,27.08,3.67,2.23,33.63,9.54,19.35
2023-11-28_15-09-09,79,6.18,510,27.08,3.67,2.23,34.91,9.54,19.70
2023-11-28_15-13-30,79,6.18,601,27.08,3.67,2.23,53.84,9.54,9.27
2023-11-28_15-17-50,79,6.18,379,27.08,3.67,2.23,54.50,9.54,15.53
2023-11-28_15-22-58,80,6.22,308,27.08,3.67,2.23,53.20,9.54,16.24
2023-11-28_15-27-19,80,6.22,455,27.08,3.67,2.23,55.44,9.54,15.48
2023-11-28_15-31-19,80,5.93,521,27.08,3.67,2.23,52.38,9.54,16.11
2023-11-28_15-35-40,80,5.93,555,27.08,3.67,2.23,54.44,9.54,15.83
2023-11-28_15-39-41,80,6.03,552,50.72,5.59,4.09,66.90,10.97,12.51
2023-11-28_15-43-47,80,6.03,553,50.72,5.59,4.09,54.59,10.97,15.67
2023-11-28_15-48-07,80,6.03,560,50.72,5.59,4.09,53.92,10.97,15.93
2023-11-28_15-52-27,81,5.79,565,50.72,5.59,4.09,53.24,10.97,16.15
2023-11-28_15-56-47,81,5.79,576,50.72,5.59,4.09,53.47,10.97,16.14
2023-11-28_16-00-55,81,5.79,577,50.72,5.59,4.09,54.40,10.97,16.31
2023-11-28_16-05-15,81,5.79,578,50.72,5.59,4.09,53.57,10.97,16.84
2023-11-28_16-09-26,82,5.44,578,50.72,5.59,4.09,54.77,10.97,16.43
2023-11-28_16-13-37,82,5.44,578,50.72,5.59,4.09,54.92,10.97,16.28
2023-11-28_16-17-49,83,5.41,576,50.72,5.59,4.09,49.47,10.97,17.35
2023-11-28_16-21-50,83,5.41,611,50.72,5.59,4.09,49.06,10.97,17.09
2023-11-28_16-25-56,83,5.41,613,50.72,5.59,4.09,49.16,10.97,16.99
2023-11-28_16-29-57,83,5.3,606,50.72,5.59,4.09,47.11,10.97,17.85
2023-11-28_16-33-58,83,5.3,602,50.72,5.59,4.09,48.32,10.97,17.47
2023-11-28_16-38-18,83,5.3,614,50.72,5.59,4.09,46.00,10.97,20.64
2023-11-28_16-42-25,83,4.98,627,61.01,9.34,7.62,64.92,12.52,12.56
2023-11-28_16-46-32,84,4.88,610,61.01,9.34,7.62,49.25,12.52,17.46
2023-11-28_16-50-48,84,4.88,595,61.01,9.34,7.62,45.55,12.52,18.26
2023-11-28_16-54-55,84,4.88,583,61.01,9.34,7.62,45.65,12.52,18.12
2023-11-28_16-59-02,85,4.7,593,61.01,9.34,7.62,46.18,12.52,17.90
2023-11-28_17-03-13,85,4.7,595,61.01,9.34,7.62,47.13,12.52,17.81
2023-11-28_17-07-14,85,4.7,609,61.01,9.34,7.62,46.76,12.52,18.18
2023-11-28_17-11-15,84,4.55,584,61.01,9.34,7.62,45.17,12.52,18.20
2023-11-28_17-15-16,84,4.55,593,61.01,9.34,7.62,44.76,12.52,18.35
2023-11-28_17-19-17,84,4.55,590,61.01,9.34,7.62,49.16,12.52,17.92
2023-11-28_17-23-37,85,4.26,585,61.01,9.34,7.62,46.50,12.52,18.21
2023-11-29_11-24-44,84,4.49,552,37.7,12.63,10.78,51.55,15.26,18.10
2023-11-29_11-28-44,84,4.49,559,37.7,12.63,10.78,44.66,15.26,19.85
2023-11-29_11-32-45,83,4.94,571,34.27,11.39,9.47,50.42,15.5,17.52
2023-11-29_11-36-46,83,4.94,630,34.27,11.39,9.47,50.55,15.5,17.72
2023-11-29_11-40-47,83,4.94,632,34.27,11.39,9.47,52.54,15.5,17.05
2023-11-29_11-44-48,83,4.92,632,34.27,11.39,9.47,54.51,15.5,16.94
2023-11-29_11-48-48,82,4.91,630,34.27,11.39,9.47,53.86,15.5,16.82
2023-11-29_11-52-51,81,5.02,631,34.27,11.39,9.47,52.27,15.5,17.76
2023-11-29_11-56-52,81,5.03,631,34.27,11.39,9.47,55.55,15.5,16.87
2023-11-29_12-00-53,81,5.03,631,34.27,11.39,9.47,55.57,15.5,17.10
2023-11-29_12-04-56,81,4.84,632,34.27,11.39,9.47,55.34,15.5,16.75
2023-11-29_12-08-57,81,4.84,633,34.27,11.39,9.47,53.23,15.5,17.51
2023-11-29_12-12-58,81,4.84,634,34.27,11.39,9.47,50.90,15.5,17.60
2023-11-29_12-16-58,81,4.89,635,34.27,11.39,9.47,51.05,15.5,17.66
2023-11-29_12-20-59,81,4.89,635,34.27,11.39,9.47,49.22,15.5,17.99
2023-11-29_12-24-59,80,5.01,636,34.27,11.39,9.47,49.74,15.5,17.64
2023-11-29_12-29-00,80,5.01,546,34.27,11.39,9.47,50.77,15.5,17.83
2023-11-29_12-33-01,80,5.01,628,34.27,11.39,9.47,50.11,15.5,17.69
2023-11-29_12-37-01,78,5.43,626,31.53,9.53,7.62,49.95,15.26,17.49
2023-11-29_12-41-02,78,5.43,623,31.53,9.53,7.62,54.33,15.26,16.40
2023-11-29_12-45-03,78,5.43,623,31.53,9.53,7.62,51.26,15.26,16.99
2023-11-29_12-49-03,77,5.47,626,31.53,9.53,7.62,50.10,15.26,18.02
2023-11-29_12-53-04,76,5.63,616,31.53,9.53,7.62,49.21,15.26,17.65
2023-11-29_12-57-05,76,5.63,587,31.53,9.53,7.62,49.54,15.26,17.10
2023-11-29_13-01-06,76,5.63,622,31.53,9.53,7.62,49.17,15.26,17.41
2023-11-29_13-05-07,76,5.55,623,31.53,9.53,7.62,49.10,15.26,17.21
2023-11-29_13-09-07,76,5.55,619,31.53,9.53,7.62,49.36,15.26,17.18
2023-11-29_13-13-08,76,5.55,615,31.53,9.53,7.62,49.29,15.26,17.15
2023-11-29_13-17-09,75,5.54,615,31.53,9.53,7.62,49.64,15.26,17.38
2023-11-29_13-21-10,75,5.54,614,31.53,9.53,7.62,48.95,15.26,17.37
2023-11-29_13-25-11,75,5.54,617,31.53,9.53,7.62,48.82,15.26,17.30
2023-11-29_13-29-11,75,5.51,573,31.53,9.53,7.62,48.71,15.26,17.34
2023-11-29_13-33-12,75,5.51,615,31.53,9.53,7.62,48.70,15.26,17.32
2023-11-29_13-37-13,75,5.51,612,31.53,9.53,7.62,49.14,15.26,17.50
2023-11-29_13-41-13,76,5.45,613,34.62,9.2,7.22,48.77,15.74,17.46
2023-11-29_13-45-14,76,5.45,611,34.62,9.2,7.22,48.62,15.74,17.38
2023-11-29_13-49-15,76,5.45,607,34.62,9.2,7.22,48.35,15.74,17.50
2023-11-29_13-53-16,73,5.66,607,34.62,9.2,7.22,48.25,15.74,17.34
2023-11-29_13-57-16,73,5.66,604,34.62,9.2,7.22,48.55,15.74,17.32
2023-11-29_14-01-17,73,5.66,641,34.62,9.2,7.22,48.67,15.74,17.33
2023-11-29_14-05-18,75,5.32,633,34.62,9.2,7.22,48.66,15.74,17.25
2023-11-29_14-09-19,75,5.32,627,34.62,9.2,7.22,48.87,15.74,17.21
2023-11-29_14-13-20,75,5.32,613,34.62,9.2,7.22,49.61,15.74,17.20
2023-11-29_14-17-20,74,5.24,594,34.62,9.2,7.22,49.08,15.74,17.09
2023-11-29_14-21-21,74,5.24,606,34.62,9.2,7.22,49.32,15.74,17.04
2023-11-29_14-25-22,74,5.24,593,34.62,9.2,7.22,49.15,15.74,17.07
2023-11-29_14-29-22,74,5.17,585,34.62,9.2,7.22,49.44,15.74,17.43
2023-11-29_14-33-23,74,5.17,579,40.78,9.17,7.13,49.26,16.93,17.09
2023-11-29_14-37-23,74,5.17,585,40.78,9.17,7.13,49.36,16.93,17.02
2023-11-29_14-41-24,75,5.03,589,40.78,9.17,7.13,49.88,16.93,17.02
2023-11-29_14-45-25,75,5.03,634,40.78,9.17,7.13,49.52,16.93,16.92
2023-11-29_14-49-26,75,5.03,629,40.78,9.17,7.13,49.47,16.93,16.92
2023-11-29_14-53-27,75,4.97,627,40.78,9.17,7.13,49.34,16.93,16.96
2023-11-29_14-57-27,75,4.97,625,40.78,9.17,7.13,56.07,16.93,18.65
2023-11-29_15-01-28,75,4.97,621,40.78,9.17,7.13,46.16,16.93,18.72
2023-11-29_15-05-29,75,4.84,622,40.78,9.17,7.13,46.36,16.93,18.76
2023-11-29_15-09-30,75,4.84,622,40.78,9.17,7.13,49.02,16.93,17.29
2023-11-29_15-13-30,75,4.63,620,40.78,9.17,7.13,48.57,16.93,17.20
2023-11-29_15-17-31,75,4.63,616,40.78,9.17,7.13,48.66,16.93,17.09
2023-11-29_15-21-32,75,4.63,615,40.78,9.17,7.13,48.66,16.93,17.16
2023-11-29_15-25-33,76,4.56,611,40.78,9.17,7.13,48.42,16.93,17.05
2023-11-29_15-29-33,76,4.56,606,40.78,9.17,7.13,47.84,16.93,17.54
2023-11-29_15-33-34,76,4.46,613,40.78,9.17,7.13,47.18,16.93,17.59
2023-11-29_15-37-35,76,4.41,611,40.78,9.17,7.13,47.82,16.93,17.38
2023-11-29_15-41-35,76,4.46,608,46.61,10.13,8.06,47.41,16.21,17.44
2023-11-29_15-45-36,76,4.17,604,46.61,10.13,8.06,48.04,16.21,17.15
2023-11-29_15-49-37,76,4.17,602,46.61,10.13,8.06,31.23,16.21,26.28
2023-11-29_15-53-38,77,4.17,601,46.61,10.13,8.06,28.15,16.21,29.18
2023-11-29_15-57-38,77,4.09,600,46.61,10.13,8.06,26.57,16.21,30.08
2023-11-29_16-01-39,77,4.09,599,46.61,10.13,8.06,32.82,16.21,23.85
2023-11-29_16-05-40,77,4.09,594,46.61,10.13,8.06,44.10,16.21,18.89
2023-11-29_16-09-41,77,3.62,597,46.61,10.13,8.06,45.39,16.21,18.63
2023-11-29_16-13-41,77,3.59,576,46.61,10.13,8.06,45.93,16.21,18.47
2023-11-29_16-17-42,77,3.59,573,46.61,10.13,8.06,45.98,16.21,17.97
2023-11-29_16-21-45,77,3.59,553,46.61,10.13,8.06,46.31,16.21,17.77
2023-11-29_16-25-56,76,3.67,553,46.61,10.13,8.06,46.43,16.21,17.64
2023-11-29_16-29-57,76,3.67,548,46.61,10.13,8.06,47.36,16.21,17.95
2023-11-29_16-33-58,76,3.67,557,46.61,10.13,8.06,48.29,16.21,17.63
2023-11-29_16-37-59,79,3.28,546,47.3,12.32,10.18,47.23,14.54,17.66
2023-11-29_16-42-00,79,3.28,546,47.3,12.32,10.18,47.13,14.54,17.37
2023-11-29_16-46-11,78,3.24,545,47.3,12.32,10.18,47.42,14.54,17.31
2023-11-29_16-50-31,78,3.24,537,47.3,12.32,10.18,47.22,14.54,17.32
2023-11-29_16-54-51,77,3.21,540,47.3,12.32,10.18,49.10,14.54,17.29
2023-11-29_16-59-02,77,3.21,556,47.3,12.32,10.18,47.47,14.54,17.28
2023-11-29_17-03-13,77,3.06,553,47.3,12.32,10.18,47.30,14.54,17.26
2023-11-29_17-07-33,77,3.06,560,47.3,12.32,10.18,47.35,14.54,17.23
2023-11-29_17-11-53,78,2.96,559,47.3,12.32,10.18,47.46,14.54,17.17
2023-11-29_17-16-01,78,2.96,563,47.3,12.32,10.18,47.39,14.54,17.15
2023-11-29_17-20-21,78,2.96,561,47.3,12.32,10.18,47.28,14.54,17.20
2023-11-29_17-24-22,81,2.42,563,47.3,12.32,10.18,47.39,14.54,17.13
2023-11-30_11-38-25,84,2.9,479,13.71,1.08,0.76,23.82,5.13,26.32
2023-11-30_11-42-26,84,2.9,443,13.71,1.08,0.76,26.86,5.13,23.79
2023-11-30_11-46-27,82,3.31,397,13.71,1.08,0.76,23.06,5.13,26.08
2023-11-30_11-50-28,82,3.31,354,13.71,1.08,0.76,24.78,5.13,26.72
2023-11-30_11-54-28,82,3.31,340,13.71,1.08,0.76,26.35,5.13,24.39
2023-11-30_11-58-29,83,3.17,441,13.71,1.08,0.76,26.42,5.13,25.01
2023-11-30_12-02-30,83,3.17,449,13.71,1.08,0.76,26.02,5.13,26.20
2023-11-30_12-06-31,83,3.17,458,13.71,1.08,0.76,26.04,5.13,30.37
2023-11-30_12-10-32,83,3.24,461,13.71,1.08,0.76,19.99,5.13,30.47
2023-11-30_12-14-33,83,3.24,453,13.71,1.08,0.76,22.25,5.13,24.97
2023-11-30_12-18-34,83,3.24,547,13.71,1.08,0.76,54.05,5.13,6.38
2023-11-30_12-22-34,82,3.07,556,13.71,1.08,0.76,34.48,5.13,21.06
2023-11-30_12-26-35,82,3.07,538,13.71,1.08,0.76,30.24,5.13,23.54
2023-11-30_12-30-36,84,3.16,539,13.71,1.08,0.76,35.81,5.13,20.33
