timestamp,apihumidity,apitemperature,gsr,no2,pm10,pm25,shumidity,so2,stemp
2023-11-30_11-38-25,84,2.9,479,13.71,1.08,0.76,23.82,5.13,26.32
2023-11-30_11-42-26,84,2.9,443,13.71,1.08,0.76,26.86,5.13,23.79
2023-11-30_11-46-27,82,3.31,397,13.71,1.08,0.76,23.06,5.13,26.08
2023-11-30_11-50-28,82,3.31,354,13.71,1.08,0.76,24.78,5.13,26.72
2023-11-30_11-54-28,82,3.31,340,13.71,1.08,0.76,26.35,5.13,24.39
2023-11-30_11-58-29,83,3.17,441,13.71,1.08,0.76,26.42,5.13,25.01
2023-11-30_12-02-30,83,3.17,449,13.71,1.08,0.76,26.02,5.13,26.20
2023-11-30_12-06-31,83,3.17,458,13.71,1.08,0.76,26.04,5.13,30.37
2023-11-30_12-10-32,83,3.24,461,13.71,1.08,0.76,19.99,5.13,30.47
2023-11-30_12-14-33,83,3.24,453,13.71,1.08,0.76,22.25,5.13,24.97
2023-11-30_12-18-34,83,3.24,547,13.71,1.08,0.76,54.05,5.13,6.38
2023-11-30_12-22-34,82,3.07,556,13.71,1.08,0.76,34.48,5.13,21.06
2023-11-30_12-26-35,82,3.07,538,13.71,1.08,0.76,30.24,5.13,23.54
2023-11-30_12-30-36,84,3.16,539,13.71,1.08,0.76,35.81,5.13,20.33
2023-11-30_12-34-37,84,3.16,544,13.71,1.08,0.76,36.06,5.13,20.17
2023-11-30_12-38-38,84,3.16,542,10.97,0.84,0.59,35.46,4.05,20.66
2023-11-30_12-42-38,82,3.48,635,10.97,0.84,0.59,37.09,4.05,19.55
2023-11-30_12-46-39,82,3.48,508,10.97,0.84,0.59,30.24,4.05,23.40
2023-11-30_12-50-40,82,3.48,493,10.97,0.84,0.59,31.85,4.05,23.44
2023-11-30_12-54-41,81,3.66,509,10.97,0.84,0.59,44.77,4.05,9.14
2023-11-30_12-58-42,81,3.66,559,10.97,0.84,0.59,37.40,4.05,14.71
2023-11-30_13-02-47,81,3.66,436,10.97,0.84,0.59,26.57,4.05,20.85
2023-11-30_13-06-48,81,3.69,568,10.97,0.84,0.59,25.86,4.05,21.45
2023-11-30_13-10-49,81,3.69,496,10.97,0.84,0.59,24.51,4.05,21.77
