timestamp,apihumidity,apitemperature,gsr,no2,pm10,pm25,shumidity,so2,stemp
2023-11-28_11-16-23,87,5.98,425,23.65,4.36,2.55,47.71,9.3,17.13
2023-11-28_11-20-24,87,5.98,438,23.65,4.36,2.55,55.11,9.3,10.43
2023-11-28_11-24-26,88,6.08,343,23.65,4.36,2.55,73.23,9.3,16.47
2023-11-28_11-28-27,88,6.08,428,23.65,4.36,2.55,66.54,9.3,19.24
2023-11-28_11-32-27,88,6.08,458,23.65,4.36,2.55,45.33,9.3,23.51
2023-11-28_11-36-28,86,6.41,528,23.65,4.36,2.55,44.08,9.3,22.17
2023-11-28_11-40-29,86,6.41,542,20.39,4.02,2.21,33.55,9.3,21.03
2023-11-28_11-44-29,86,6.41,546,20.39,4.02,2.21,48.59,9.3,22.46
2023-11-28_11-48-30,84,6.75,476,20.39,4.02,2.21,34.87,9.3,22.88
2023-11-28_11-52-31,84,6.75,546,20.39,4.02,2.21,37.37,9.3,21.88
2023-11-28_11-56-31,84,6.75,538,20.39,4.02,2.21,40.12,9.3,23.25
2023-11-28_12-00-45,84,6.95,558,20.39,4.02,2.21,57.41,9.3,9.45
2023-11-28_12-04-45,84,6.95,566,20.39,4.02,2.21,51.30,9.3,17.28
2023-11-28_12-08-46,84,6.95,600,20.39,4.02,2.21,33.28,9.3,23.02
2023-11-28_12-12-47,82,6.71,603,20.39,4.02,2.21,32.75,9.3,22.51
2023-11-28_12-16-48,82,6.71,581,20.39,4.02,2.21,32.68,9.3,23.22
2023-11-28_12-20-49,82,6.71,563,20.39,4.02,2.21,32.02,9.3,23.54
2023-11-28_12-24-50,81,7.08,458,20.39,4.02,2.21,28.94,9.3,24.65
2023-11-28_12-28-51,81,7.08,491,20.39,4.02,2.21,34.40,9.3,24.57
2023-11-28_12-32-52,81,7.08,499,20.39,4.02,2.21,25.85,9.3,26.91
2023-11-28_12-36-53,81,6.99,569,20.39,4.02,2.21,28.85,9.3,27.21
2023-11-28_12-40-54,81,6.96,590,15.94,3.12,1.6,30.11,7.03,25.02
2023-11-28_12-44-55,81,6.96,537,15.94,3.12,1.6,28.94,7.03,24.63
2023-11-28_12-48-56,81,6.98,554,15.94,3.12,1.6,28.26,7.03,25.52
2023-11-28_12-52-56,81,6.98,615,15.94,3.12,1.6,27.88,7.03,25.59
2023-11-28_12-56-57,81,6.98,516,15.94,3.12,1.6,31.98,7.03,23.20
2023-11-28_13-00-58,81,6.99,542,15.94,3.12,1.6,56.45,7.03,8.74
2023-11-28_13-05-09,81,6.99,548,15.94,3.12,1.6,52.00,7.03,10.55
2023-11-28_13-09-09,81,6.99,545,15.94,3.12,1.6,45.25,7.03,16.17
2023-11-28_13-13-10,80,6.89,532,15.94,3.12,1.6,52.70,7.03,19.85
2023-11-28_13-17-11,80,6.89,534,15.94,3.12,1.6,47.85,7.03,17.30
2023-11-28_13-21-16,80,6.9,502,15.94,3.12,1.6,42.48,7.03,21.72
2023-11-28_13-25-17,80,6.9,592,15.94,3.12,1.6,27.80,7.03,23.37
2023-11-28_13-29-17,80,6.9,572,15.94,3.12,1.6,31.38,7.03,21.50
2023-11-28_13-33-18,80,6.91,561,15.94,3.12,1.6,34.59,7.03,21.04
2023-11-28_13-37-19,80,6.91,562,20.39,3.32,1.85,36.01,8.23,23.66
2023-11-28_13-41-20,80,6.82,575,20.39,3.32,1.85,57.01,8.23,8.82
2023-11-28_13-45-20,80,6.82,566,20.39,3.32,1.85,64.64,8.23,16.82
2023-11-28_13-49-21,79,6.84,554,20.39,3.32,1.85,53.67,8.23,19.81
2023-11-28_13-53-22,79,6.84,555,20.39,3.32,1.85,43.08,8.23,21.35
2023-11-28_13-57-33,79,6.84,520,20.39,3.32,1.85,43.14,8.23,21.66
2023-11-28_14-01-34,79,6.65,508,20.39,3.32,1.85,40.12,8.23,16.08
2023-11-28_14-05-35,79,6.65,541,20.39,3.32,1.85,47.52,8.23,11.93
2023-11-28_14-09-41,79,6.65,545,20.39,3.32,1.85,58.75,8.23,14.84
2023-11-28_14-13-53,78,6.65,543,20.39,3.32,1.85,41.47,8.23,15.52
2023-11-28_14-18-13,78,6.65,540,20.39,3.32,1.85,47.64,8.23,16.87
